Artist,Album,Notes,
A Children's Introduction,Gilbert and Sullivan,,
Abbot and Costello,Who's On First,Party Record,
Aretha Franklin,Aretha's Gold,,
Band Aid,Do The Know It's Christmas,Christmas,
Beach Boys,Best Of,,
Beach Boys,Christmas Album,Christmas,
Beach Boys,Endless Summer,,
Beach Boys,Greatest Hits (61-63),,
Beatles,Abbey Rd,,
Beatles,Hard Days Night,,
Beatles,Second Album,,
Beatles,Sgt. Pepper,,
Beatles,Yesterday and Today,,
Bel Biv Devoe,Poison,,
Belinda Carlisle,Heaven on Earth (single),Ripped jacket,
Billy Idol,Rebel Yell,,
Billy Joel,Greatest Hits,,
Billy Ocean,Suddenly,,
Billy Squire,Don't Say No,,
Blondie,Eat To The Beat,,
Bob Dylan,Greatest Hits 1,,
Bob Dylan,Greatest Hits 2,,
Bobby Darin,Doctor Dolittle,,
Bon Jovi,Bad Medicine ,Single,
Bonnie Tyler,Faster Than The Speed Of Night,,
Boxcar Willie,King of the Road,,
Boy Meets Girl,Waiting For A Star To Fall,Single,
Brenda Lee,10 Golden Years,,
C'est Chic,C'est Chic,,
Carley Simon,The Best Of,,
Carpenters,Christmas Portrait,Christmas,
Cat Stevens,Greatest Hits,,
Cat Stevens,Tea for the Tillerman,,
Cheap Trick,Heaven Tonight,,
Chicago,Chicago 18,,
Chuck Berry,Chuck Berry's Greatest Hits,,
Commodores,Natural High,,
Cyndi Lauper,She's So Unusual,,
David Bowie,Changes One,,
David Bowie,Let's Dance,,
David Bowie,Let's Dance (single),,
David Bowie,Modern Love (live version),,
David Bowie,Tonight (single),,
Dick Clark,20 Years of Rock N' Roll,,
Dolly Parton,9 to 5 and Odd Jobs,,
Dolly Parton,Great Balls of Fire,,
"Dolly Parton, Linda Ronstadt, Emmylou Harris",Trio,,
Donovan,Greatest Hits,,
Duran Duran,Rio,,
Duran Duran,Seven and the Ragged Tiger,,
Dusty Springfield,Stay Awhile,,
Eagles,Their Greatest Hits,,
Eddie Money,Can't Hold Back,,
Elton John,Caribou,,
Elton John,Greatest Hits,,
Elvis Costello and the Attractions,IbMePdErRoloAmL,,
Fleetwood Mac,Rumors,,
Foreigner,4,,
Genesis,Invisible Touch,,
George Carlin,Occupation: Foole,Party Album,
George Michael,Faith,,
Gilbert & Sullivan,The Mikado,,
Go Gos,Beauty And The Beat,,
Go Gos,Vacation,,
Hall & Oates,Abandoned Luncheonette,,
Hall & Oates,H2O,,
Hall & Oates,Hall & Oates,,
Hall & Oates,Private Eyes,,
Hall & Oates,Rock 'n Soul Part 1,,
Hank Williams,24 of HW Greatest Hits,,
Hank Williams,The Very Best Of Vol 1,,
Hank Williams,The Very Best Of Vol 2,,
Harry Belafonte,Belefonte at Carnegie Hall,,
Harry Belafonte,Belefonte Sings of the Carribean,,
Harry Belafonte,Bellefonte,,
Harry Belafonte,By Request,,
Harry Belafonte,Calypso,,
Heart,Dreamboat Annie,,
Heart,Greatest Hits/Live,,
Heart,Little Queen,,
Herb Albert & The Tijuana Brass,Whipped Cream & Other Delights,,
Herman's Hermits,The Best Of,,
INXS,Kick,,
Jackson Browne,For Everyman,,
Jackson Browne,Running On Empty,,
Jackson Browne,The Pretender,,
James Taylor,Greatest Hits,,
Janet Jackson,Rhythm Nation,,
Jerry Lee Lewis,Great Balls of Fire,Single,No sleeve
Jim Croce,Photographs and Memories,,
Jimmy Davis,The Girl From Ipanema,,
John Cougar,American Fool,,
John Denver,Greatest Hits,,
John Denver,Rocky Mountain Christmas,Christmas,
John Denver & The Muppets,A Christmas Together,Christmas,
Johnny Cash,At San Quentin,,
Johnny Cash,The Johnny Cash Collection His Greatest Hits Vol 2,,
Johnny Mathis,Merry Christmas,Christmas,
Julio Inglesias & Willie Nelson,To All The Girls I've Loved Before,Single,
Kenny & Dolly,Once Upon A Christmas,Christmas,
Lanza,Lanza Sings Christmas Carols,Christmas,
Led Zeppelin,III,,
Leslie Gore,The Golden Hits,,
Lionel Richie,Can't Slow Down,,
Lionel Richie,Dancing on the Ceiling,,
Loverboy,Get Lucky,,
Loving Spoonful,The Best Of,,
Lynyrd Skynyrd,Gold & Platinum,,
Madonna,Like A Prayer,,
Mama Cass,Make Your Own Kind Of Music,No sleeve,
Meatloaf,Bat Out Of Hell,,
Men At Work,Business As Usual,,
MPS,2001 A Space Odyssey,,
MPS,Amadeus,,
MPS,Beverly Hills Cop,,
MPS,Blade Runner,,
MPS,Footloose,,
MPS,Ghosbusters: Answer The Call,,
MPS,Grease,,
MPS,In Harmony A Sesame Street Record,,
MPS,Jaws,,
MPS,Pretty in Pink,,
MPS,St. Elmo's Fire,,
MPS,Star Wars,,
MPS,The Breakfast Club,,
MPS,The Empire Strikes Back,,
MPS,The Graduate,,
MPS,The Great Rock & Roll From Sesame Street: Born To Add,,
MPS,The Muppet Movie,,
MPS,The Muppet Show,,
MPS,The Muppets Take Manhattan,,
Nat King Cole,The Best Of,,
Neil Diamond,Gold,,
Neil Diamond,Shilo,,
Neil Young,Harvest,,
New Kids On The Block,Hanging Tough,Single,
Nirvana,Nirvana,,
okgo,oh no,,
okgo,okgo,,
Pat Cooper,Spaghetti Sauce & Other Delights,Party Album,
Paul Simon,Graceland,,
Paul Simon,Still Crazy After All These Years,,
Peter Nero,Saulte To Herb Albert & The Tijuana Brass,,
Queen,Greatest Hits,,
Queen,News of the World,,
Queen,Radio Ga Ga,,
Rod Stewart,A Night On The Town,,
Rod Stewart,Blondes Have More Fun,,
Rod Stewart,Camouflage,,
Rod Stewart,Tonight I'm Yours,,
Roy Orbison,Orbiting With,,
Sade,Diamon Life,,
Sha Na Na,Rock n Roll Dance Party,,
Simon & Garfunkel,Bookends,,
Simon & Garfunkel,Bridge Over Troubled Water,,
Simon & Garfunkel,Greatest Hits,,
Simon & Garfunkel,Sounds of Silence,,
Snoopy,Snoopy's Christmas,Christmas,
Speech,First Man On The Moon Narrated By Hugh Downs,"7""",
Speech,The Eagle Has Landed,,
Steve Martin,A Wild And Crazy Guy,Party Album,
Steve Martin,The Steve Martin Brothers,Party Album,
Steve Winwood,Back In The High Life,,
Stevie Nicks,The Wild Heart,,
Supertramp,Breakfast In America,,
Telly Savalas,Who Loves Ya Baby,,
The Cars,The Cars,,
The Chipmunks ,Christmas With The Chipmunks,Christmas,
The Drifters,The Best of The Drifters,,
The Drifters,The Drifters Golden Hits,,
The English Beat,I Just Can't Stop,,
The Irish Rovers,The Unicorn,,
The J. Geils Band,Love Stinks,,
The J. Giles Band,Freeze Frame,,
The Kinks,Come Dancing With The Kinks,,
The Kinks,Give The People What They Want,,
The Kinks,Greatest Hits,,
The Kinks,Low Budget,,
The Kinks,One For The Road,,
The Kinks,The Kinks,"7"" French EP",Record Store Day
The Kinks,Vol 1,,
The Kinks,Vol 2,,
The Monkees,Greatest Hits,Damaged sleeve,
The Monkees,The Monkees,,
The Orlons,South Street,,
The Police,Outlands d'Amour,,
The Police,Zenatta Mondattaa,,
The Righteous Brothers,Greatest Hits,,
Tom Petty and the Heartbreaks,Live,,
USA For Africa,We Are The World,Single,
VA,Fonzie Favorites,,
VA,Great American Music,,
VA,Hawaiian Favorites,,
VA,Heart Rock,,
VA,Monster Mash,Halloween,
VA,Woodstock,,
VA - Christmas,Star Wars - Christmas in the Stars,Christmas,
VA - Christmas,Tennessee Christmas,Christmas,
Village People,In The Navy,Single,No Sleeve
Vivaldi,The Four Seasons,,
Weezer,Pinkerton,,
Whitney Houston,Whitney Houston,,
